"run_id","prompt_id","category","threads","ctx_size","batch_size","n_predict","no_mmap","start_time","end_time","total_latency_s","tokens_per_second","max_rss_kb","output_chars","success","error_message","raw_output_path"
"run0001","A001","short_qa","1","2048","256","128","false","2026-06-02T21:01:37","2026-06-02T21:02:07","29.823230","4.5","","860","true","","C:\Users\cad\Desktop\OSH2026_Lab4_Local\Lab4\results\logs\param_tuning_parts\raw_single_outputs\threads_1\run0001_A001.txt"
"run0002","A002","os_course","1","2048","256","128","false","2026-06-02T21:02:07","2026-06-02T21:02:46","39.037759","4.5","","926","true","","C:\Users\cad\Desktop\OSH2026_Lab4_Local\Lab4\results\logs\param_tuning_parts\raw_single_outputs\threads_1\run0002_A002.txt"
"run0001","A001","short_qa","2","2048","256","128","false","2026-06-02T21:02:46","2026-06-02T21:02:58","12.184359","7.8","","784","true","","C:\Users\cad\Desktop\OSH2026_Lab4_Local\Lab4\results\logs\param_tuning_parts\raw_single_outputs\threads_2\run0001_A001.txt"
"run0002","A002","os_course","2","2048","256","128","false","2026-06-02T21:02:58","2026-06-02T21:03:21","22.687459","7.5","","938","true","","C:\Users\cad\Desktop\OSH2026_Lab4_Local\Lab4\results\logs\param_tuning_parts\raw_single_outputs\threads_2\run0002_A002.txt"
"run0001","A001","short_qa","4","2048","256","128","false","2026-06-02T21:03:21","2026-06-02T21:03:33","11.745468","10.2","","830","true","","C:\Users\cad\Desktop\OSH2026_Lab4_Local\Lab4\results\logs\param_tuning_parts\raw_single_outputs\threads_4\run0001_A001.txt"
"run0002","A002","os_course","4","2048","256","128","false","2026-06-02T21:03:33","2026-06-02T21:03:49","15.906047","10.6","","900","true","","C:\Users\cad\Desktop\OSH2026_Lab4_Local\Lab4\results\logs\param_tuning_parts\raw_single_outputs\threads_4\run0002_A002.txt"
"run0001","A001","short_qa","8","2048","256","128","false","2026-06-02T21:03:49","2026-06-02T21:03:57","8.632484","10.8","","818","true","","C:\Users\cad\Desktop\OSH2026_Lab4_Local\Lab4\results\logs\param_tuning_parts\raw_single_outputs\threads_8\run0001_A001.txt"
"run0002","A002","os_course","8","2048","256","128","false","2026-06-02T21:03:57","2026-06-02T21:04:13","15.532281","10.1","","944","true","","C:\Users\cad\Desktop\OSH2026_Lab4_Local\Lab4\results\logs\param_tuning_parts\raw_single_outputs\threads_8\run0002_A002.txt"
"run0001","A001","short_qa","4","2048","128","128","false","2026-06-02T21:04:13","2026-06-02T21:04:24","11.460063","10.7","","834","true","","C:\Users\cad\Desktop\OSH2026_Lab4_Local\Lab4\results\logs\param_tuning_parts\raw_single_outputs\batch_128\run0001_A001.txt"
"run0002","A002","os_course","4","2048","128","128","false","2026-06-02T21:04:24","2026-06-02T21:04:40","15.584437","10.0","","890","true","","C:\Users\cad\Desktop\OSH2026_Lab4_Local\Lab4\results\logs\param_tuning_parts\raw_single_outputs\batch_128\run0002_A002.txt"
