request_id,prompt_id,original_worker,final_worker,original_server_url,final_server_url,start_time_iso,end_time_iso,latency_s,success,retry_count,error_message,output_chars
R001-att0,R001,worker_0,worker_0,http://127.0.0.1:8080,http://127.0.0.1:8080,2026-06-05T12:33:44.327748+00:00,2026-06-05T12:33:49.267061+00:00,4.9393,True,0,,241
R002-att0,R002,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:33:49.270984+00:00,2026-06-05T12:33:54.405385+00:00,5.1344,True,0,,461
R003-att0,R003,worker_0,worker_0,http://127.0.0.1:8080,http://127.0.0.1:8080,2026-06-05T12:33:54.406655+00:00,2026-06-05T12:34:00.306723+00:00,5.9001,True,0,,451
R004-att0,R004,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:34:00.308444+00:00,2026-06-05T12:34:06.673992+00:00,6.3656,True,0,,406
R005-att0,R005,worker_0,worker_0,http://127.0.0.1:8080,http://127.0.0.1:8080,2026-06-05T12:34:06.675138+00:00,2026-06-05T12:34:11.300488+00:00,4.6254,True,0,,404
R006-att0,R006,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:34:11.301722+00:00,2026-06-05T12:34:18.906255+00:00,7.6045,True,0,,360
R007-att1,R007,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:34:18.909172+00:00,2026-06-05T12:34:22.609115+00:00,3.7,True,1,,262
R008-att0,R008,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:34:22.610507+00:00,2026-06-05T12:34:27.285206+00:00,4.6747,True,0,,460
R009-att1,R009,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:34:27.288414+00:00,2026-06-05T12:34:28.715334+00:00,1.4269,True,1,,78
R010-att0,R010,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:34:28.717195+00:00,2026-06-05T12:34:30.739987+00:00,2.0228,True,0,,97
R011-att1,R011,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:34:30.743419+00:00,2026-06-05T12:34:36.972557+00:00,6.2291,True,1,,406
R012-att0,R012,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:34:36.973587+00:00,2026-06-05T12:34:41.941597+00:00,4.968,True,0,,401
R013-att1,R013,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:34:41.944288+00:00,2026-06-05T12:34:48.092244+00:00,6.148,True,1,,254
R014-att0,R014,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:34:48.094618+00:00,2026-06-05T12:34:50.643067+00:00,2.5485,True,0,,210
R015-att1,R015,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:34:50.645752+00:00,2026-06-05T12:34:55.385573+00:00,4.7398,True,1,,538
R016-att0,R016,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:34:55.386734+00:00,2026-06-05T12:35:02.182099+00:00,6.7954,True,0,,460
R017-att1,R017,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:35:02.186150+00:00,2026-06-05T12:35:08.437028+00:00,6.2509,True,1,,437
R018-att0,R018,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:35:08.438322+00:00,2026-06-05T12:35:10.532215+00:00,2.0939,True,0,,209
R019-att1,R019,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:35:10.534998+00:00,2026-06-05T12:35:17.487812+00:00,6.9528,True,1,,471
R020-att0,R020,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:35:17.489474+00:00,2026-06-05T12:35:22.844336+00:00,5.3549,True,0,,514
R021-att1,R021,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:35:22.847036+00:00,2026-06-05T12:35:27.541965+00:00,4.6949,True,1,,452
R022-att0,R022,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:35:27.543070+00:00,2026-06-05T12:35:35.124062+00:00,7.581,True,0,,432
R023-att1,R023,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:35:35.127305+00:00,2026-06-05T12:35:39.828623+00:00,4.7013,True,1,,474
R024-att0,R024,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:35:39.829837+00:00,2026-06-05T12:35:40.620913+00:00,0.7911,True,0,,70
R025-att1,R025,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:35:40.623534+00:00,2026-06-05T12:35:42.354466+00:00,1.7309,True,1,,143
R026-att0,R026,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:35:42.355822+00:00,2026-06-05T12:35:49.942931+00:00,7.5871,True,0,,451
R027-att1,R027,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:35:49.945670+00:00,2026-06-05T12:35:53.811347+00:00,3.8657,True,1,,445
R028-att0,R028,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:35:53.812538+00:00,2026-06-05T12:35:59.174229+00:00,5.3617,True,0,,469
R029-att1,R029,worker_0,worker_1,http://127.0.0.1:8080,http://127.0.0.1:8081,2026-06-05T12:35:59.184082+00:00,2026-06-05T12:36:06.180446+00:00,6.9964,True,1,,451
R030-att0,R030,worker_1,worker_1,http://127.0.0.1:8081,http://127.0.0.1:8081,2026-06-05T12:36:06.181640+00:00,2026-06-05T12:36:08.144214+00:00,1.9626,True,0,,199
