request_id,prompt_id,strategy,assigned_worker,server_url,start_time_iso,end_time_iso,latency_s,output_chars,success,error_message
worker_0-0001,R001,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:14:58.167048+00:00,2026-06-05T12:15:08.501612+00:00,10.3346,446,True,
worker_1-0001,R002,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:14:58.167709+00:00,2026-06-05T12:15:16.351966+00:00,18.1843,458,True,
worker_0-0002,R003,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:15:08.502189+00:00,2026-06-05T12:15:18.778458+00:00,10.2763,407,True,
worker_1-0002,R004,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:15:16.352652+00:00,2026-06-05T12:15:33.556247+00:00,17.2036,408,True,
worker_0-0003,R005,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:15:18.779528+00:00,2026-06-05T12:15:27.777873+00:00,8.9984,384,True,
worker_1-0003,R006,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:15:33.556820+00:00,2026-06-05T12:15:51.673930+00:00,18.1171,364,True,
worker_0-0004,R007,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:15:27.778724+00:00,2026-06-05T12:15:35.289759+00:00,7.511,312,True,
worker_1-0004,R008,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:15:51.674696+00:00,2026-06-05T12:16:06.380186+00:00,14.7055,349,True,
worker_0-0005,R009,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:15:35.290464+00:00,2026-06-05T12:15:36.921059+00:00,1.6306,78,True,
worker_1-0005,R010,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:16:06.380820+00:00,2026-06-05T12:16:10.499045+00:00,4.1182,97,True,
worker_0-0006,R011,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:15:36.921578+00:00,2026-06-05T12:15:46.885496+00:00,9.9639,406,True,
worker_1-0006,R012,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:16:10.499689+00:00,2026-06-05T12:16:27.788743+00:00,17.2891,396,True,
worker_0-0007,R013,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:15:46.886039+00:00,2026-06-05T12:15:54.129442+00:00,7.2434,254,True,
worker_1-0007,R014,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:16:27.789690+00:00,2026-06-05T12:16:36.423948+00:00,8.6343,210,True,
worker_0-0008,R015,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:15:54.129916+00:00,2026-06-05T12:16:04.403129+00:00,10.2732,538,True,
worker_1-0008,R016,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:16:36.424991+00:00,2026-06-05T12:16:53.880956+00:00,17.456,458,True,
worker_0-0009,R017,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:16:04.403780+00:00,2026-06-05T12:16:13.177515+00:00,8.7737,437,True,
worker_1-0009,R018,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:16:53.881515+00:00,2026-06-05T12:17:01.662485+00:00,7.781,209,True,
worker_0-0010,R019,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:16:13.178547+00:00,2026-06-05T12:16:23.024200+00:00,9.8457,499,True,
worker_1-0010,R020,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:17:01.663139+00:00,2026-06-05T12:17:10.385890+00:00,8.7228,510,True,
worker_0-0011,R021,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:16:23.024850+00:00,2026-06-05T12:16:32.925179+00:00,9.9003,452,True,
worker_1-0011,R022,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:17:10.386292+00:00,2026-06-05T12:17:20.951470+00:00,10.5652,420,True,
worker_0-0012,R023,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:16:32.925840+00:00,2026-06-05T12:16:41.814187+00:00,8.8884,474,True,
worker_1-0012,R024,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:17:20.951869+00:00,2026-06-05T12:17:22.378051+00:00,1.4262,70,True,
worker_0-0013,R025,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:16:41.814657+00:00,2026-06-05T12:16:45.394587+00:00,3.5799,143,True,
worker_1-0013,R026,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:17:22.378448+00:00,2026-06-05T12:17:30.120655+00:00,7.7422,449,True,
worker_0-0014,R027,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:16:45.395492+00:00,2026-06-05T12:16:53.819688+00:00,8.4242,445,True,
worker_1-0014,R028,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:17:30.121894+00:00,2026-06-05T12:17:41.230719+00:00,11.1088,469,True,
worker_0-0015,R029,round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:16:53.820414+00:00,2026-06-05T12:17:03.187314+00:00,9.3669,451,True,
worker_1-0015,R030,round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:17:41.231102+00:00,2026-06-05T12:17:47.509082+00:00,6.278,199,True,
