request_id,prompt_id,category,strategy,assigned_worker,server_url,start_time_iso,end_time_iso,latency_s,output_chars,success,status_code,error_message
worker_0-0001,R001,os,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:04:06.754141+00:00,2026-06-05T12:04:14.225468+00:00,7.4713,438,True,200,
worker_1-0001,R002,os,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:04:06.754857+00:00,2026-06-05T12:04:14.420529+00:00,7.6657,461,True,200,
worker_0-0002,R003,os,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:04:14.226384+00:00,2026-06-05T12:04:22.843063+00:00,8.6167,451,True,200,
worker_1-0002,R004,os,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:04:14.421807+00:00,2026-06-05T12:04:22.978663+00:00,8.5569,406,True,200,
worker_0-0003,R005,os,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:04:22.843520+00:00,2026-06-05T12:04:30.699151+00:00,7.8556,404,True,200,
worker_1-0003,R006,code,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:04:22.979137+00:00,2026-06-05T12:04:31.288079+00:00,8.309,360,True,200,
worker_0-0004,R007,code,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:04:30.699915+00:00,2026-06-05T12:04:36.902613+00:00,6.2027,312,True,200,
worker_1-0004,R008,code,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:04:31.289095+00:00,2026-06-05T12:04:38.500152+00:00,7.2111,349,True,200,
worker_0-0005,R009,summary,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:04:36.903072+00:00,2026-06-05T12:04:38.174294+00:00,1.2712,78,True,200,
worker_1-0005,R010,summary,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:04:38.500745+00:00,2026-06-05T12:04:40.703995+00:00,2.2033,97,True,200,
worker_0-0006,R011,reasoning,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:04:38.174873+00:00,2026-06-05T12:04:47.182042+00:00,9.0072,406,True,200,
worker_1-0006,R012,reasoning,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:04:40.704593+00:00,2026-06-05T12:04:50.357991+00:00,9.6534,401,True,200,
worker_0-0007,R013,reasoning,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:04:47.182667+00:00,2026-06-05T12:04:53.291907+00:00,6.1093,254,True,200,
worker_1-0007,R014,llm_deploy,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:04:50.358508+00:00,2026-06-05T12:04:53.843496+00:00,3.485,210,True,200,
worker_0-0008,R015,llm_deploy,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:04:53.292504+00:00,2026-06-05T12:05:01.977182+00:00,8.6847,538,True,200,
worker_1-0008,R016,llm_deploy,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:04:53.843980+00:00,2026-06-05T12:05:02.814461+00:00,8.9705,460,True,200,
worker_0-0009,R017,llm_deploy,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:05:01.977781+00:00,2026-06-05T12:05:09.900228+00:00,7.9225,437,True,200,
worker_1-0009,R018,ray,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:05:02.815430+00:00,2026-06-05T12:05:06.546143+00:00,3.7307,209,True,200,
worker_0-0010,R019,ray,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:05:09.900708+00:00,2026-06-05T12:05:19.219597+00:00,9.3189,499,True,200,
worker_1-0010,R020,ray,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:05:06.546704+00:00,2026-06-05T12:05:14.342671+00:00,7.796,514,True,200,
worker_0-0011,R021,ray,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:05:19.220096+00:00,2026-06-05T12:05:26.196171+00:00,6.9761,452,True,200,
worker_1-0011,R022,os,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:05:14.343721+00:00,2026-06-05T12:05:22.880891+00:00,8.5372,420,True,200,
worker_0-0012,R023,code,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:05:26.196677+00:00,2026-06-05T12:05:35.553447+00:00,9.3568,474,True,200,
worker_1-0012,R024,summary,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:05:22.881537+00:00,2026-06-05T12:05:24.410493+00:00,1.529,70,True,200,
worker_0-0013,R025,reasoning,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:05:35.553993+00:00,2026-06-05T12:05:38.181421+00:00,2.6274,143,True,200,
worker_1-0013,R026,llm_deploy,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:05:24.411035+00:00,2026-06-05T12:05:33.716024+00:00,9.305,451,True,200,
worker_0-0014,R027,llm_deploy,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:05:38.181936+00:00,2026-06-05T12:05:44.608120+00:00,6.4262,445,True,200,
worker_1-0014,R028,ray,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:05:33.717175+00:00,2026-06-05T12:05:41.180717+00:00,7.4636,469,True,200,
worker_0-0015,R029,os,ray_round_robin,worker_0,http://127.0.0.1:8080,2026-06-05T12:05:44.608713+00:00,2026-06-05T12:05:51.353922+00:00,6.7452,451,True,200,
worker_1-0015,R030,code,ray_round_robin,worker_1,http://127.0.0.1:8081,2026-06-05T12:05:41.181328+00:00,2026-06-05T12:05:45.135890+00:00,3.9546,199,True,200,
