request_id,prompt_id,category,strategy,assigned_worker,server_url,start_time_iso,end_time_iso,latency_s,output_chars,success,status_code,error_message
serial-0000,R001,os,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:52:52.007042+00:00,2026-06-05T08:52:58.043879+00:00,6.0368,438,True,200,
serial-0001,R002,os,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:52:58.043975+00:00,2026-06-05T08:53:02.307582+00:00,4.2636,459,True,200,
serial-0002,R003,os,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:02.307670+00:00,2026-06-05T08:53:09.741030+00:00,7.4334,451,True,200,
serial-0003,R004,os,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:09.741113+00:00,2026-06-05T08:53:14.013369+00:00,4.2723,406,True,200,
serial-0004,R005,os,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:14.013467+00:00,2026-06-05T08:53:18.772036+00:00,4.7586,384,True,200,
serial-0005,R006,code,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:18.772154+00:00,2026-06-05T08:53:26.591200+00:00,7.8191,360,True,200,
serial-0006,R007,code,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:26.591300+00:00,2026-06-05T08:53:29.519000+00:00,2.9277,262,True,200,
serial-0007,R008,code,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:29.519083+00:00,2026-06-05T08:53:35.209813+00:00,5.6908,460,True,200,
serial-0008,R009,summary,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:35.209938+00:00,2026-06-05T08:53:37.040852+00:00,1.8309,78,True,200,
serial-0009,R010,summary,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:37.041096+00:00,2026-06-05T08:53:39.425592+00:00,2.3845,97,True,200,
serial-0010,R011,reasoning,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:39.425793+00:00,2026-06-05T08:53:44.401343+00:00,4.9756,406,True,200,
serial-0011,R012,reasoning,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:44.401425+00:00,2026-06-05T08:53:50.061024+00:00,5.6596,401,True,200,
serial-0012,R013,reasoning,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:50.061121+00:00,2026-06-05T08:53:55.326050+00:00,5.2649,254,True,200,
serial-0013,R014,llm_deploy,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:55.326140+00:00,2026-06-05T08:53:57.474060+00:00,2.1479,210,True,200,
serial-0014,R015,llm_deploy,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:53:57.474144+00:00,2026-06-05T08:54:01.964639+00:00,4.4905,538,True,200,
serial-0015,R016,llm_deploy,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:01.964719+00:00,2026-06-05T08:54:10.007058+00:00,8.0423,460,True,200,
serial-0016,R017,llm_deploy,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:10.007164+00:00,2026-06-05T08:54:14.669844+00:00,4.6627,437,True,200,
serial-0017,R018,ray,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:14.669926+00:00,2026-06-05T08:54:16.712137+00:00,2.0422,209,True,200,
serial-0018,R019,ray,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:16.712220+00:00,2026-06-05T08:54:23.516633+00:00,6.8044,471,True,200,
serial-0019,R020,ray,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:23.516723+00:00,2026-06-05T08:54:28.089589+00:00,4.5729,514,True,200,
serial-0020,R021,ray,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:28.089692+00:00,2026-06-05T08:54:32.624893+00:00,4.5352,452,True,200,
serial-0021,R022,os,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:32.624980+00:00,2026-06-05T08:54:40.087071+00:00,7.4621,432,True,200,
serial-0022,R023,code,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:40.087154+00:00,2026-06-05T08:54:44.668781+00:00,4.5816,474,True,200,
serial-0023,R024,summary,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:44.668894+00:00,2026-06-05T08:54:45.622896+00:00,0.954,70,True,200,
serial-0024,R025,reasoning,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:45.622996+00:00,2026-06-05T08:54:47.315013+00:00,1.692,143,True,200,
serial-0025,R026,llm_deploy,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:47.315097+00:00,2026-06-05T08:54:54.803983+00:00,7.4889,451,True,200,
serial-0026,R027,llm_deploy,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:54.804069+00:00,2026-06-05T08:54:58.502177+00:00,3.6982,445,True,200,
serial-0027,R028,ray,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:54:58.502476+00:00,2026-06-05T08:55:03.242862+00:00,4.7404,469,True,200,
serial-0028,R029,os,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:55:03.243057+00:00,2026-06-05T08:55:10.538299+00:00,7.2952,451,True,200,
serial-0029,R030,code,serial,worker_0,http://127.0.0.1:8080,2026-06-05T08:55:10.538387+00:00,2026-06-05T08:55:12.652087+00:00,2.1137,199,True,200,
