request_id,concurrency,prompt_id,start_time,end_time,latency_s,success,status_code,output_chars,error_message
c1_r001,1,P1,2026-06-05T03:12:04.903348+00:00,2026-06-05T03:12:04.903348+00:00,4.013,true,200,232,
c1_r002,1,P2,2026-06-05T03:12:12.589124+00:00,2026-06-05T03:12:12.589124+00:00,7.686,true,200,133,
c1_r003,1,P3,2026-06-05T03:12:17.155108+00:00,2026-06-05T03:12:17.155108+00:00,4.566,true,200,279,
c1_r004,1,P4,2026-06-05T03:12:21.418366+00:00,2026-06-05T03:12:21.418366+00:00,4.264,true,200,206,
c1_r005,1,P5,2026-06-05T03:12:25.498227+00:00,2026-06-05T03:12:25.498227+00:00,4.079,true,200,206,
c1_r006,1,P1,2026-06-05T03:12:28.698906+00:00,2026-06-05T03:12:28.698906+00:00,3.201,true,200,215,
c1_r007,1,P2,2026-06-05T03:12:32.153520+00:00,2026-06-05T03:12:32.153520+00:00,3.454,true,200,214,
c1_r008,1,P3,2026-06-05T03:12:35.444336+00:00,2026-06-05T03:12:35.444336+00:00,3.292,true,200,261,
c1_r009,1,P4,2026-06-05T03:12:38.730291+00:00,2026-06-05T03:12:38.730291+00:00,3.285,true,200,234,
c1_r010,1,P5,2026-06-05T03:12:41.967765+00:00,2026-06-05T03:12:41.967765+00:00,3.237,true,200,229,
c2_r001,2,P1,2026-06-05T03:12:46.449465+00:00,2026-06-05T03:12:46.449465+00:00,4.48,true,200,214,
c2_r002,2,P2,2026-06-05T03:12:46.477618+00:00,2026-06-05T03:12:46.477618+00:00,4.508,true,200,194,
c2_r003,2,P3,2026-06-05T03:12:50.977714+00:00,2026-06-05T03:12:50.977714+00:00,4.528,true,200,272,
c2_r004,2,P4,2026-06-05T03:12:51.006862+00:00,2026-06-05T03:12:51.006862+00:00,4.529,true,200,228,
c2_r005,2,P5,2026-06-05T03:12:55.542361+00:00,2026-06-05T03:12:55.542361+00:00,4.564,true,200,231,
c2_r006,2,P1,2026-06-05T03:12:55.570367+00:00,2026-06-05T03:12:55.570367+00:00,4.563,true,200,197,
c2_r007,2,P2,2026-06-05T03:13:00.266409+00:00,2026-06-05T03:13:00.266409+00:00,4.724,true,200,218,
c2_r008,2,P3,2026-06-05T03:13:00.298448+00:00,2026-06-05T03:13:00.298448+00:00,4.727,true,200,224,
c2_r009,2,P4,2026-06-05T03:13:04.759016+00:00,2026-06-05T03:13:04.759016+00:00,4.492,true,200,223,
c2_r010,2,P5,2026-06-05T03:13:04.788171+00:00,2026-06-05T03:13:04.788171+00:00,4.489,true,200,223,
c4_r001,4,P1,2026-06-05T03:13:12.663088+00:00,2026-06-05T03:13:12.663088+00:00,7.871,true,200,220,
c4_r004,4,P4,2026-06-05T03:13:12.665334+00:00,2026-06-05T03:13:12.665334+00:00,7.87,true,200,229,
c4_r002,4,P2,2026-06-05T03:13:12.665334+00:00,2026-06-05T03:13:12.665334+00:00,7.872,true,200,236,
c4_r003,4,P3,2026-06-05T03:13:12.665334+00:00,2026-06-05T03:13:12.665334+00:00,7.872,true,200,241,
c4_r007,4,P2,2026-06-05T03:13:16.260366+00:00,2026-06-05T03:13:16.260366+00:00,3.596,true,200,70,
c4_r005,4,P5,2026-06-05T03:13:20.390606+00:00,2026-06-05T03:13:20.390606+00:00,7.727,true,200,211,
c4_r008,4,P3,2026-06-05T03:13:20.391611+00:00,2026-06-05T03:13:20.391611+00:00,7.727,true,200,340,
c4_r006,4,P1,2026-06-05T03:13:20.392607+00:00,2026-06-05T03:13:20.392607+00:00,7.728,true,200,215,
c4_r009,4,P4,2026-06-05T03:13:22.529166+00:00,2026-06-05T03:13:22.529166+00:00,6.269,true,200,221,
c4_r010,4,P5,2026-06-05T03:13:24.373263+00:00,2026-06-05T03:13:24.373263+00:00,3.983,true,200,219,
