prompt_id,category,prompt_chars,mode,run,prompt_tps,generation_tps,success,error_message
P1,中文问答,92,single,1,218.6,44.7,true,
P1,中文问答,92,single,2,218.1,44.3,true,
P1,中文问答,92,single,3,210.7,44.7,true,
P1,中文问答,92,rpc,1,133.1,10.1,true,
P1,中文问答,92,rpc,2,97.3,5.3,true,
P1,中文问答,92,rpc,3,136.6,8.7,true,
P2,摘要,1159,single,1,197.7,41.6,true,
P2,摘要,1159,single,2,202.6,41.7,true,
P2,摘要,1159,single,3,208.7,41.5,true,
P2,摘要,1159,rpc,1,205.0,7.6,true,
P2,摘要,1159,rpc,2,207.0,6.8,true,
P2,摘要,1159,rpc,3,242.5,9.1,true,
